institution_code,department,department_code,program_code,program_name,degree_type,catalog_year,group_name,group_type,required_credits,display_order,course_code,title,credits,prerequisites,alternatives,choice_group_code,source
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Required Common Core,common_core,12,10,ENG 101,English Composition,3,,,,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Required Common Core,common_core,12,10,ENG 201,Introduction to Literature,3,ENG 101,,,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Required Common Core,common_core,12,10,SCI-AS-MATH,Mathematical and Quantitative Reasoning - Science,4,,,SCI_AS_MATH_QUANT,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Required Common Core,common_core,12,10,SCI-AS-LPS,Life and Physical Sciences - Science sequences,4,,,SCI_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,SPE 100,Fundamentals of Public Speaking,3,,SPE 102,,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,SCI-AS-CREATIVE,Creative Expression - Science options,3,,,SCI_AS_CREATIVE,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-INDIVIDUAL,Individual and Society Requirement,3,,,FC_INDIVIDUAL,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,SCI-AS-SCIWORLD,Scientific World - Science sequences,4,,,SCI_AS_SCIENTIFIC_WORLD,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-US-EXP,U.S. Experience in Its Diversity Requirement,3,,,FC_US_EXPERIENCE,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Flexible Core,flexible_core,18,20,FC-WORLD-CULTURES,World Cultures and Global Issues Requirement,3,,,FC_WORLD_CULTURES,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
BMCC,Science,SCI,SCI_AS,Science,AS,2025-2026,Additional Science Sequence,program_required,8,30,SCI-AS-SEQUENCE-I,First course in an additional approved science sequence,4,,,SCI_AS_LIFE_PHYSICAL,https://www.bmcc.cuny.edu/academics/departments/science/science-program/
